"","Brewery_id","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State","Region","Mean_IBU_by_State","Mean_ABV_by_State","Mean_IBU_by_Region","Mean_ABV_by_Region"
"1",1,"Get Together",2692,0.045,50,"American IPA",16,"NorthGate Brewing ","Minneapolis","MN","North Central",49.9565217391304,0.0604347826086957,39.1903485254692,0.0591260053619303
"2",1,"Maggie's Leap",2691,0.049,26,"Milk / Sweet Stout",16,"NorthGate Brewing ","Minneapolis","MN","North Central",49.9565217391304,0.0604347826086957,39.1903485254692,0.0591260053619303
"3",1,"Wall's End",2690,0.048,19,"English Brown Ale",16,"NorthGate Brewing ","Minneapolis","MN","North Central",49.9565217391304,0.0604347826086957,39.1903485254692,0.0591260053619303
"4",1,"Pumpion",2689,0.06,38,"Pumpkin Ale",16,"NorthGate Brewing ","Minneapolis","MN","North Central",49.9565217391304,0.0604347826086957,39.1903485254692,0.0591260053619303
"5",1,"Stronghold",2688,0.06,25,"American Porter",16,"NorthGate Brewing ","Minneapolis","MN","North Central",49.9565217391304,0.0604347826086957,39.1903485254692,0.0591260053619303
"6",1,"Parapet ESB",2687,0.056,47,"Extra Special / Strong Bitter (ESB)",16,"NorthGate Brewing ","Minneapolis","MN","North Central",49.9565217391304,0.0604347826086957,39.1903485254692,0.0591260053619303
"7",2,"Citra Ass Down",2686,0.08,68,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"8",2,"London Balling",2685,0.125,80,"English Barleywine",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"9",2,"35 K",2684,0.077,25,"Milk / Sweet Stout",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"10",2,"A Beer",2683,0.042,42,"American Pale Ale (APA)",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"11",2,"Rules are Rules",2682,0.05,25,"German Pilsener",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"12",2,"Flesh Gourd'n",2681,0.066,21,"Pumpkin Ale",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"13",2,"Sho'nuff",2680,0.04,13,"Belgian Pale Ale",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"14",2,"Bloody Show",2679,0.055,17,"American Pilsner",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"15",2,"Rico Sauvin",2678,0.076,68,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"16",2,"Coq de la Marche",2677,0.051,38,"Saison / Farmhouse Ale",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"17",2,"Kamen Knuddeln",2676,0.065,NA,"American Wild Ale",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"18",2,"Pile of Face",2675,0.06,65,"American IPA",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"19",2,"The Brown Note",2674,0.05,20,"English Brown Ale",16,"Against the Grain Brewery","Louisville","KY","South",40.7142857142857,0.0645714285714286,42.7402135231317,0.0602740213523132
"20",3,"House Lager",2673,0.052,18,"Keller Bier / Zwickel Bier",16,"Jack's Abby Craft Lagers","Framingham","MA","Northeast",38,0.0563137254901961,41.578431372549,0.0585980392156863
"21",3,"Leisure Time",2672,0.048,15,"American Pale Lager",12,"Jack's Abby Craft Lagers","Framingham","MA","Northeast",38,0.0563137254901961,41.578431372549,0.0585980392156863
"22",3,"Excess IPL",2671,0.072,80,"American India Pale Lager",16,"Jack's Abby Craft Lagers","Framingham","MA","Northeast",38,0.0563137254901961,41.578431372549,0.0585980392156863
"23",3,"Hoponius Union",2670,0.067,65,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham","MA","Northeast",38,0.0563137254901961,41.578431372549,0.0585980392156863
